,carat,cut,color,clarity,depth,table,length,width,height,price
33189,0.34,Very Good,G,VVS1,61.7,56.0,4.49,4.51,2.78,819
6659,0.72,Ideal,E,VVS2,62.0,54.9,5.75,5.78,3.57,4094
8268,0.9,Very Good,D,SI1,59.4,62.0,6.19,6.24,3.69,4381
3087,0.74,Ideal,E,VS2,61.7,56.0,5.86,5.81,3.6,3315
21822,1.51,Premium,D,SI2,63.0,62.0,7.28,7.23,4.57,9894
44805,0.5,Very Good,E,VS2,61.3,59.0,5.05,5.1,3.11,1624
34750,0.41,Premium,H,SI1,62.0,59.0,4.8,4.78,2.97,876
8390,0.32,Very Good,E,SI1,59.9,57.0,4.47,4.49,2.68,584
12947,1.11,Ideal,H,SI1,62.7,56.0,6.65,6.59,4.15,5386
48905,0.51,Very Good,F,VVS2,60.8,56.0,5.17,5.2,3.15,2041
49826,0.56,Ideal,G,VVS2,60.7,56.0,5.33,5.32,3.23,2167
29030,0.31,Ideal,H,VVS1,62.3,54.0,4.37,4.4,2.73,687
25533,1.5,Premium,F,VS2,61.0,58.0,7.37,7.31,4.48,14352
17684,1.02,Ideal,G,VS1,61.6,55.0,6.53,6.46,4.0,7129
36626,0.24,Very Good,D,VVS2,61.9,58.0,4.02,4.03,2.49,478
19562,1.04,Very Good,D,VS1,62.3,59.0,6.39,6.48,4.01,8192
5206,1.0,Premium,J,SI1,62.8,59.0,6.37,6.27,3.97,3780
48643,0.31,Ideal,I,SI1,62.2,56.0,4.37,4.34,2.71,537
28107,0.36,Ideal,D,SI1,61.6,56.0,4.54,4.58,2.81,663
38973,0.4,Very Good,E,VS1,62.4,54.0,4.71,4.75,2.95,1053
53543,0.76,Ideal,H,VS2,62.7,57.0,5.86,5.82,3.66,2692
20023,0.32,Very Good,G,SI2,62.3,58.0,4.37,4.42,2.74,421
52188,0.7,Ideal,G,SI1,62.5,56.0,5.67,5.69,3.55,2478
31758,0.44,Ideal,G,SI1,61.5,57.0,4.87,4.88,3.0,772
8008,0.9,Very Good,H,VS1,62.5,58.0,6.08,6.14,3.82,4328
4441,0.9,Premium,J,VVS1,62.0,58.0,6.19,6.11,3.81,3617
13911,1.04,Ideal,F,SI1,61.4,56.0,6.52,6.58,4.02,5663
6149,1.05,Good,F,SI2,63.6,59.0,6.4,6.36,4.06,3989
23516,1.57,Premium,F,SI1,62.0,58.0,7.47,7.41,4.61,11523
30526,0.44,Ideal,H,SI1,61.9,57.0,4.9,4.92,3.04,733
45567,0.52,Premium,G,VS1,61.2,60.0,5.13,5.19,3.16,1689
21639,1.63,Good,I,SI1,63.7,58.0,7.48,7.4,4.74,9730
52462,0.68,Good,F,VS1,60.0,60.8,5.67,5.71,3.41,2516
39649,0.55,Very Good,I,SI2,61.5,60.0,5.23,5.25,3.22,1087
5243,1.0,Ideal,J,SI1,62.7,58.0,6.35,6.41,4.0,3788
4919,0.9,Fair,H,VS2,64.6,54.0,6.09,6.14,3.95,3725
45163,0.5,Ideal,D,SI1,62.6,57.0,5.1,5.06,3.18,1654
40038,0.52,Good,H,SI1,63.1,57.0,5.09,5.14,3.23,1111
18891,0.9,Very Good,E,IF,63.9,55.0,6.05,6.09,3.88,7747
17269,1.51,Very Good,I,SI2,63.2,58.0,7.31,7.27,4.61,6914
31985,0.3,Premium,F,VS2,61.4,60.0,4.3,4.27,2.63,776
10606,1.08,Premium,H,SI1,62.6,56.0,6.58,6.52,4.1,4826
19777,1.02,Ideal,D,VS1,62.6,57.0,6.4,6.44,4.02,8347
41921,0.53,Ideal,E,SI2,63.0,57.0,5.16,5.13,3.24,1262
23419,1.33,Ideal,D,VS2,62.8,56.0,7.08,7.03,4.43,11409
16003,1.05,Ideal,F,VS2,62.7,56.0,6.52,6.59,4.11,6403
7605,0.73,Ideal,D,VS1,61.9,55.0,5.78,5.81,3.59,4258
7059,0.33,Premium,I,VVS2,61.0,58.0,4.42,4.46,2.71,579
46799,0.7,Premium,F,SI2,60.6,57.0,5.81,5.74,3.5,1806
32592,0.3,Ideal,F,VVS1,61.8,54.0,4.33,4.37,2.69,802
33302,0.4,Good,F,VS2,63.4,54.4,4.68,4.73,2.99,826
26316,1.52,Very Good,F,VS1,63.8,56.0,7.25,7.3,4.64,15819
53218,0.71,Ideal,F,SI2,62.1,56.0,5.75,5.7,3.56,2637
6961,0.9,Ideal,E,SI1,61.7,56.0,6.16,6.23,3.82,4147
40188,0.43,Ideal,I,VVS1,60.6,57.0,4.88,4.94,2.97,1120
11442,0.72,Ideal,F,VVS1,60.8,56.0,5.81,5.83,3.54,5006
26614,1.8,Ideal,F,SI1,61.8,57.0,7.79,7.83,4.83,16364
7304,1.0,Good,F,SI2,62.0,59.0,6.32,6.36,3.93,4204
1720,0.32,Ideal,G,VS2,61.4,55.0,4.4,4.46,2.72,561
17019,1.01,Ideal,G,VS1,62.4,56.0,6.44,6.39,4.0,6794
18884,1.51,Very Good,J,VS2,61.0,58.0,7.35,7.41,4.5,7744
46564,0.53,Premium,D,VS2,62.4,59.0,5.14,5.18,3.22,1783
52835,0.71,Very Good,G,VS2,63.1,54.0,5.64,5.7,3.58,2574
50884,0.83,Good,H,SI2,63.9,56.0,5.93,5.99,3.81,2316
10131,0.91,Very Good,D,VS2,62.7,59.0,6.13,6.16,3.85,4720
38121,0.3,Premium,G,VVS1,60.7,59.0,4.37,4.33,2.64,1013
22108,1.0,Premium,E,VVS1,60.3,54.0,6.59,6.47,3.94,10134
21816,1.31,Ideal,G,VS1,62.2,56.0,7.01,7.05,4.37,9891
5615,0.72,Ideal,E,VVS2,62.0,56.0,5.74,5.77,3.57,3874
9334,1.2,Very Good,J,SI2,61.8,60.0,6.76,6.83,4.2,4580
9748,1.04,Ideal,I,SI1,61.3,57.0,6.57,6.54,4.02,4659
32063,0.33,Ideal,D,SI1,61.3,56.0,4.46,4.44,2.73,780
17602,1.21,Ideal,E,SI1,62.3,56.0,6.87,6.81,4.26,7088
8399,0.3,Very Good,E,VS2,61.6,61.0,4.26,4.31,2.64,585
7195,0.87,Premium,D,SI1,62.1,58.0,6.08,6.13,3.79,4189
16663,1.56,Very Good,J,SI2,62.0,57.0,7.37,7.44,4.59,6662
14822,1.38,Ideal,J,SI2,62.6,56.0,7.05,7.16,4.45,5969
4653,1.12,Premium,I,SI2,61.2,58.0,6.72,6.68,4.1,3669
52101,0.69,Ideal,F,SI1,61.3,55.0,5.72,5.74,3.51,2459
43753,0.53,Ideal,E,SI2,61.4,56.0,5.21,5.25,3.21,1438
41543,0.52,Premium,G,SI2,61.4,56.0,5.27,5.18,3.2,1235
8380,0.31,Ideal,F,VS2,62.2,56.0,4.36,4.39,2.72,583
46992,0.57,Very Good,G,VS1,61.0,55.0,5.36,5.43,3.28,1817
48214,0.57,Ideal,H,VVS1,60.9,56.0,5.36,5.38,3.27,1949
41967,0.23,Very Good,E,VVS2,62.8,58.0,3.92,3.94,2.47,505
30142,0.32,Premium,G,VS2,62.5,60.0,4.38,4.32,2.72,720
36303,0.32,Premium,H,VVS1,61.4,58.0,4.42,4.37,2.7,936
36666,0.36,Ideal,G,VS1,61.4,56.0,4.55,4.6,2.81,949
26025,0.32,Ideal,G,VS1,62.0,56.0,4.37,4.41,2.72,645
4962,0.9,Very Good,G,SI1,62.0,61.0,6.07,6.13,3.78,3734
40039,0.52,Very Good,H,SI1,62.6,55.0,5.12,5.16,3.22,1111
50295,0.23,Ideal,E,VS2,62.6,57.0,3.92,3.88,2.44,543
7830,1.01,Very Good,F,SI2,61.8,56.0,6.43,6.38,3.96,4298
28668,0.32,Premium,E,VS1,61.3,58.0,4.36,4.39,2.68,677
24417,1.21,Ideal,D,VVS2,62.8,55.0,6.77,6.84,4.26,12657
4942,0.76,Ideal,D,SI1,62.3,55.0,5.81,5.84,3.63,3732
47088,0.73,Premium,H,SI2,60.5,57.0,5.84,5.76,3.51,1824
17095,1.02,Very Good,E,VS2,62.5,57.0,6.36,6.41,3.99,6816
2274,1.22,Premium,J,SI2,62.6,59.0,6.79,4.24,3.76,3156
17016,1.52,Ideal,H,I1,61.6,56.0,7.75,7.73,4.77,6793
47005,0.51,Premium,D,VS2,61.9,58.0,5.19,5.12,3.19,1818
7858,1.0,Good,H,VS2,63.6,57.0,6.35,6.26,4.01,4305
1993,0.81,Ideal,I,SI1,61.3,56.0,6.23,6.27,3.83,3097
28655,0.35,Very Good,G,VS1,61.5,60.0,4.51,4.57,2.79,676
22433,1.57,Ideal,I,VS2,62.8,57.0,7.46,7.37,4.66,10462
51526,0.7,Good,E,SI1,63.6,62.0,5.57,5.6,3.55,2386
3074,0.96,Good,J,VS2,63.9,58.0,6.27,6.21,3.99,3312
14638,1.13,Ideal,H,SI1,61.9,60.0,6.63,6.65,4.11,5911
23265,1.57,Premium,H,VS1,59.8,60.0,7.63,7.56,4.54,11272
16667,1.06,Very Good,G,VS1,62.8,54.0,6.5,6.56,4.1,6663
13571,1.0,Ideal,E,SI1,61.4,58.0,6.41,6.43,3.94,5555
47687,0.56,Premium,E,VS2,61.0,62.0,5.36,5.28,3.24,1882
20582,1.5,Ideal,H,VS1,62.1,57.0,7.37,7.23,4.53,8891
11880,1.03,Ideal,G,SI1,60.1,59.0,6.6,6.57,3.96,5111
12009,1.14,Premium,I,VS1,60.3,57.0,6.83,6.81,4.11,5148
21268,1.16,Ideal,G,VVS2,62.2,56.0,6.74,6.7,4.18,9419
39485,0.41,Ideal,E,VS1,62.1,55.0,4.75,4.78,2.96,1079
32775,0.34,Premium,D,SI1,62.7,59.0,4.45,4.42,2.78,803
35447,0.32,Premium,E,VS2,62.6,58.0,4.4,4.36,2.74,900
49259,0.71,Ideal,D,SI2,62.5,57.0,5.7,5.73,3.57,2088
40330,0.56,Ideal,G,SI2,61.0,57.0,5.34,5.32,3.25,1127
38301,0.35,Very Good,D,SI2,62.4,57.0,4.47,4.5,2.8,487
41771,0.54,Ideal,E,SI2,60.6,57.0,5.25,5.28,3.19,1246
43638,0.43,Ideal,G,IF,61.8,56.0,4.86,4.88,3.01,1433
6509,0.9,Premium,H,VS1,63.0,59.0,6.13,6.1,3.85,4064
17070,1.5,Premium,J,SI1,60.5,59.0,7.38,7.47,4.49,6806
34877,0.3,Ideal,G,VVS1,61.7,57.0,4.34,4.31,2.67,878
11841,1.01,Ideal,I,VS2,62.0,54.0,6.43,6.47,4.0,5099
38241,0.41,Ideal,D,VS1,61.2,57.0,4.77,4.81,2.93,1018
13947,1.18,Very Good,H,SI1,62.6,55.0,6.76,6.79,4.24,5674
46386,0.71,Very Good,J,SI2,61.1,58.0,5.67,5.76,3.49,1764
5297,0.71,Ideal,D,VS1,62.1,57.0,5.7,5.73,3.55,3801
3287,0.91,Good,F,SI1,64.0,57.0,6.17,6.08,3.92,3363
47006,0.71,Good,F,SI2,64.0,58.0,5.65,5.59,3.6,1818
39665,0.42,Premium,G,VS2,60.1,61.0,4.86,4.79,2.9,1087
38116,0.3,Ideal,H,IF,62.1,55.0,4.3,4.27,2.66,1013
12969,1.14,Ideal,J,VS1,61.5,57.0,6.7,6.73,4.13,5392
47624,0.55,Premium,E,VS2,61.4,57.0,5.29,5.27,3.24,1881
48522,0.54,Ideal,G,VVS2,61.0,56.0,5.25,5.3,3.22,1985
42216,0.42,Ideal,G,IF,61.9,53.0,4.83,4.87,3.0,1289
42066,0.62,Premium,E,SI2,60.7,58.0,5.53,5.51,3.35,1271
29684,0.32,Ideal,F,VS2,62.6,57.0,4.41,4.37,2.75,707
23051,1.01,Ideal,D,VVS2,62.3,53.0,6.4,6.47,4.02,11082
6037,0.33,Ideal,D,SI1,62.2,54.0,4.45,4.46,2.77,575
20578,1.0,Premium,E,VVS2,61.6,59.0,6.42,6.46,3.97,8888
23323,1.5,Good,E,SI1,63.0,54.0,7.19,7.26,4.55,11368
21828,1.52,Good,H,SI1,63.6,57.0,7.25,7.3,4.63,9898
25353,0.28,Very Good,E,VVS2,59.1,59.0,4.27,4.33,2.54,642
53396,0.72,Premium,E,SI1,61.3,58.0,5.81,5.78,3.55,2666
34348,0.35,Ideal,D,VS1,60.1,57.0,4.58,4.61,2.76,862
42805,0.59,Ideal,J,VS2,60.8,57.0,5.47,5.42,3.31,1352
45840,0.6,Very Good,F,SI1,62.1,57.4,5.39,5.45,3.35,1715
5287,1.06,Ideal,H,SI2,60.4,57.0,6.64,6.58,3.99,3799
14366,1.02,Ideal,G,VS2,62.0,57.0,6.38,6.46,3.98,5816
17130,0.8,Very Good,D,IF,63.3,57.0,5.85,5.87,3.71,6834
36724,0.32,Ideal,E,VVS1,61.7,55.0,4.39,4.42,2.72,954
18867,1.02,Very Good,E,VS1,60.5,60.0,6.49,6.54,3.94,7738
50251,0.7,Premium,F,SI2,59.5,58.0,5.82,5.72,3.44,2234
17179,1.0,Ideal,E,VS2,61.7,54.0,6.41,6.46,3.97,6859
35669,0.4,Very Good,F,VS1,63.4,54.0,4.68,4.72,2.98,909
31614,0.32,Ideal,I,SI2,61.7,55.0,4.39,4.42,2.72,371
43759,0.41,Ideal,F,IF,61.4,56.0,4.77,4.81,2.94,1439
20366,1.28,Ideal,H,VVS1,61.7,55.0,6.97,7.01,4.31,8759
40425,0.54,Very Good,I,SI1,63.2,57.0,5.17,5.21,3.28,1135
2600,1.18,Very Good,E,I1,59.9,63.0,6.8,6.85,4.09,3219
49811,0.5,Ideal,F,VVS1,60.4,56.0,5.16,5.21,3.13,2165
21732,1.17,Ideal,G,VVS1,61.9,56.0,6.73,6.78,4.18,9799
7135,1.04,Very Good,I,SI1,62.5,62.0,6.39,6.45,4.01,4175
42823,0.5,Good,F,VS2,59.7,63.0,5.08,5.1,3.04,1354
12580,1.2,Very Good,I,SI1,62.6,58.2,6.71,6.74,4.21,5280
9498,0.91,Ideal,I,VVS1,60.0,57.0,6.29,6.31,3.83,4609
51959,0.56,Ideal,G,IF,61.4,57.0,5.29,5.32,3.26,2442
18346,1.01,Ideal,F,VS1,62.0,57.0,6.39,6.45,3.98,7465
18423,1.5,Very Good,J,VS2,62.6,58.0,7.25,7.29,4.55,7492
7445,0.92,Very Good,E,SI1,60.7,59.0,6.25,6.28,3.8,4232
25248,1.76,Premium,D,SI2,59.6,58.0,7.9,7.86,4.7,13867
2173,0.73,Ideal,F,VS1,62.9,56.0,5.71,5.77,3.61,3135
42149,0.5,Ideal,F,SI1,62.7,57.0,5.06,5.09,3.18,1282
38047,0.49,Premium,H,SI2,59.9,59.0,5.17,5.12,3.08,1011
51796,0.7,Good,F,VS2,63.9,53.0,5.65,5.61,3.6,2415
52768,0.72,Good,F,SI1,64.0,61.0,5.67,5.62,3.61,2563
17135,1.28,Ideal,I,VS2,61.6,57.0,7.01,6.98,4.31,6838
52380,0.7,Very Good,G,VS2,62.7,57.0,5.65,5.7,3.56,2507
47938,0.56,Premium,E,VS2,62.1,57.0,5.3,5.27,3.28,1915
14782,1.21,Premium,H,SI1,62.5,58.0,6.75,6.72,4.21,5948
38586,0.39,Ideal,F,VVS2,61.9,54.8,4.68,4.69,2.9,1036
11658,1.07,Premium,H,SI1,62.2,57.0,6.57,6.48,4.06,5055
14131,1.1,Premium,H,VS2,62.5,58.0,6.59,6.54,4.1,5729
25228,1.51,Ideal,G,VS2,62.3,54.0,7.35,7.33,4.57,13828
29136,0.32,Ideal,G,VVS2,61.4,56.0,4.42,4.44,2.72,692
4414,0.75,Ideal,F,SI1,60.8,57.0,5.87,5.9,3.58,3610
23415,1.5,Ideal,F,SI1,62.0,53.0,7.32,7.29,4.53,11405
22856,1.2,Very Good,F,VVS2,62.9,59.0,6.72,6.76,4.24,10891
27038,0.32,Premium,F,VS2,60.7,58.0,4.41,4.45,2.69,645
3025,0.66,Very Good,E,VVS1,61.8,55.0,5.6,5.66,3.48,3309
42077,0.46,Very Good,F,VS2,59.6,58.2,4.99,5.06,3.0,1273
38803,0.31,Ideal,G,VVS1,62.5,54.0,4.37,4.33,2.72,1046
5256,0.9,Good,G,VS2,63.9,61.0,6.01,5.97,3.83,3792
47736,0.56,Ideal,G,VS1,61.2,54.0,5.36,5.32,3.27,1890
47652,0.23,Ideal,D,VVS2,62.1,57.0,3.92,3.97,2.45,530
15937,1.2,Very Good,E,SI1,63.2,57.0,6.75,6.69,4.25,6373
33500,0.32,Ideal,F,VS2,62.8,53.0,4.38,4.34,2.74,828
39278,0.43,Good,J,SI2,63.7,57.0,4.76,4.79,3.04,490
32797,0.31,Ideal,D,VVS2,61.2,59.0,4.37,4.39,2.68,805
3881,0.9,Very Good,I,VS1,63.5,57.0,6.06,6.03,3.84,3484
45036,0.96,Fair,H,I1,61.5,63.0,6.22,6.06,3.78,1637
20058,0.31,Good,G,VS1,63.2,57.0,4.28,4.33,2.72,625
29031,0.31,Ideal,H,VVS1,62.2,54.0,4.34,4.37,2.71,687
48981,0.34,Ideal,H,VS2,61.4,57.0,4.48,4.55,2.77,537
46170,0.5,Premium,E,VS2,61.3,58.0,5.12,5.06,3.12,1746
35201,0.33,Ideal,I,IF,61.8,55.0,4.47,4.46,2.76,891
8972,1.0,Good,F,SI1,62.5,57.0,6.28,6.39,3.96,4504
14323,1.19,Premium,H,SI1,62.7,56.0,6.76,6.7,4.22,5802
1004,0.79,Ideal,G,SI1,62.3,57.0,5.9,5.85,3.66,2898
11188,1.18,Premium,I,SI1,60.5,59.0,6.9,6.82,4.15,4956
42809,0.53,Ideal,H,VS2,62.3,54.0,5.19,5.21,3.24,1353
13949,1.14,Ideal,G,SI2,61.5,55.0,6.78,6.71,4.15,5675
36661,0.38,Ideal,G,VVS1,61.2,54.0,4.69,4.72,2.88,949
39513,0.32,Premium,E,VVS2,59.9,58.0,4.5,4.45,2.68,1080
41413,0.53,Very Good,D,SI2,59.3,61.0,5.26,5.29,3.13,1226
3666,1.22,Very Good,J,SI2,63.5,58.0,6.8,6.75,4.3,3443
6174,0.9,Very Good,F,SI1,63.4,62.0,6.05,6.0,3.82,3992
48618,0.7,Very Good,H,SI2,61.5,63.0,5.63,5.59,3.45,1999
51714,0.7,Very Good,F,SI1,62.9,59.0,5.62,5.67,3.55,2401
19037,0.3,Ideal,F,VS1,61.6,54.0,4.32,4.35,2.67,621
45059,0.59,Premium,E,VS2,59.1,61.0,5.61,5.53,3.29,1641
17368,1.22,Premium,G,SI2,62.4,61.0,6.79,6.79,4.23,6969
44318,0.31,Premium,I,VS2,59.3,59.0,4.42,4.38,2.61,521
27979,0.3,Ideal,E,VS2,61.8,56.0,4.31,4.33,2.67,658
13655,1.27,Premium,I,SI1,60.9,59.0,6.94,6.99,4.24,5588
33864,0.3,Ideal,E,VS2,62.1,55.0,4.35,4.32,2.69,844
46258,0.54,Ideal,G,VS1,61.3,57.0,5.25,5.28,3.23,1754
51937,0.55,Ideal,G,IF,60.0,57.0,5.33,5.39,3.22,2440
16021,0.3,Premium,I,VS1,59.8,60.0,4.36,4.34,2.6,608
10205,0.9,Ideal,H,SI1,61.6,56.0,6.17,6.23,3.82,4740
20980,1.54,Ideal,G,SI2,61.9,55.0,7.47,7.39,4.6,9193
3800,1.0,Ideal,J,SI2,62.1,56.0,6.34,6.41,3.96,3465
40493,0.42,Ideal,F,VVS2,61.3,57.0,4.8,4.82,2.95,1142
51195,0.6,Premium,F,VVS2,61.3,59.0,5.45,5.41,3.33,2350
48533,0.71,Very Good,H,SI1,62.5,63.0,5.66,5.63,3.53,1986
7261,1.01,Good,F,SI1,64.2,58.0,6.31,6.33,4.06,4199
35151,0.31,Ideal,E,VVS1,61.7,56.0,4.38,4.41,2.71,890
5348,0.9,Very Good,D,SI1,62.4,63.0,6.13,6.04,3.8,3812
6835,1.01,Good,F,SI2,63.6,59.0,6.34,6.37,4.04,4121
19104,1.22,Premium,G,VS2,61.2,58.0,6.91,6.81,4.2,7870
31516,0.34,Ideal,E,SI1,62.3,57.0,4.51,4.48,2.8,765
52249,0.74,Ideal,G,SI2,61.9,55.0,5.82,5.84,3.61,2487
22802,1.04,Ideal,F,VVS1,61.6,55.0,6.5,6.53,4.02,10825
48534,0.54,Ideal,D,VS1,61.6,54.0,5.24,5.25,3.23,1987
45726,0.63,Ideal,F,SI1,62.6,56.0,5.53,5.49,3.45,1698
20515,1.71,Premium,J,SI1,62.9,58.0,7.64,7.58,4.79,8848
20827,1.5,Premium,I,VS2,62.5,59.0,7.3,7.26,4.55,9055
13958,1.01,Very Good,G,VS2,62.5,57.0,6.37,6.4,3.99,5679
13533,1.0,Good,D,SI1,60.5,60.0,6.37,6.42,3.87,5546
41091,0.41,Ideal,F,VVS2,61.7,57.0,4.8,4.73,2.94,1192
20591,1.52,Premium,D,SI2,60.2,60.0,7.46,7.4,4.47,8897
13328,1.11,Ideal,D,SI2,62.2,57.0,6.66,6.62,4.12,5501
12724,0.9,Premium,E,VS2,62.6,60.0,6.15,6.08,3.83,5312
28634,0.33,Very Good,I,SI1,63.0,57.0,4.37,4.39,2.76,434
41458,0.59,Premium,E,SI2,61.4,59.0,5.4,5.32,3.29,1229
24704,0.32,Ideal,E,VS2,61.7,56.0,4.39,4.43,2.72,639
39677,0.47,Premium,E,SI1,59.3,56.0,5.07,5.05,3.02,1087
5345,0.53,Ideal,D,IF,62.2,55.0,5.17,5.19,3.22,3812
32438,0.43,Very Good,F,SI1,62.4,56.0,4.81,4.84,3.01,792
32604,0.31,Premium,F,VS2,59.0,59.0,4.47,4.44,2.63,802
36267,0.3,Ideal,E,VS1,61.6,57.0,4.33,4.3,2.66,936
26961,1.75,Very Good,G,VS1,59.6,60.0,7.76,7.9,4.67,17036
14614,1.01,Premium,G,VS1,61.7,59.0,6.38,6.33,3.92,5898
48689,0.72,Ideal,J,VS1,62.7,57.0,5.71,5.74,3.59,2006
27077,1.6,Premium,G,VVS1,61.5,58.0,7.48,7.58,4.63,17204
25611,1.52,Ideal,G,VS1,61.8,56.0,7.4,7.45,4.59,14482
17515,1.04,Ideal,G,VS2,61.3,57.0,6.53,6.56,4.01,7044
31110,0.31,Very Good,F,VVS2,62.0,56.0,4.36,4.39,2.71,754
6936,0.93,Premium,D,SI2,62.6,57.0,6.26,6.2,3.9,4140
50962,0.7,Very Good,E,SI2,60.8,57.0,5.66,5.72,3.46,2324
32113,0.25,Ideal,E,VVS1,62.3,53.0,4.08,4.11,2.55,783
47031,0.57,Ideal,E,VS2,60.4,57.0,5.4,5.36,3.25,1819
45065,0.51,Premium,D,SI1,61.9,60.0,5.15,5.12,3.18,1642
12383,0.35,Ideal,I,VVS2,61.5,55.0,4.53,4.57,2.8,598
21765,1.08,Ideal,G,IF,62.3,56.0,6.55,6.59,4.09,9831
21356,1.02,Ideal,D,VS2,61.5,56.0,6.46,6.49,3.99,9502
42698,0.52,Very Good,G,SI1,63.3,55.0,5.1,5.07,3.22,1338
44528,0.53,Ideal,H,VS1,61.2,56.0,5.23,5.26,3.21,1601
24033,0.4,Ideal,J,VS1,62.2,54.0,4.72,4.76,2.95,633
31968,0.26,Premium,E,VS1,60.1,60.0,4.1,4.15,2.48,452
13010,1.49,Good,I,SI2,64.3,59.0,7.2,7.1,4.6,5407
18474,1.05,Very Good,E,VS1,61.6,58.0,6.53,6.56,4.03,7521
32822,0.34,Ideal,D,VS2,62.0,55.0,4.45,4.48,2.77,805
1231,0.79,Very Good,E,SI2,59.2,59.0,6.04,6.06,3.58,2941
39869,0.3,Ideal,E,VVS1,61.2,57.0,4.33,4.36,2.66,1102
50413,0.71,Good,G,VS2,64.1,56.0,5.64,5.6,3.6,2258
50317,0.71,Very Good,G,SI1,63.1,60.0,5.6,5.69,3.56,2240
47377,0.57,Premium,D,SI1,61.1,56.0,5.38,5.33,3.27,1847
7211,0.9,Premium,H,VS2,61.7,59.0,6.19,6.13,3.8,4191
29399,0.34,Ideal,E,VS1,59.1,57.0,4.55,4.58,2.7,698
27075,1.51,Very Good,F,VVS2,61.3,61.0,7.33,7.36,4.5,17203
29802,0.3,Premium,D,SI1,62.2,58.0,4.31,4.28,2.67,709
6230,1.01,Fair,G,SI1,64.2,59.0,6.31,6.28,4.04,4004
9636,0.97,Premium,D,SI1,62.0,60.0,6.29,6.25,3.89,4639
52370,0.7,Premium,F,SI1,62.1,58.0,5.64,5.7,3.52,2504
406,0.29,Very Good,E,VS1,62.4,55.0,4.2,4.25,2.63,555
44010,0.51,Premium,G,VS2,61.2,60.0,5.17,5.12,3.15,1546
26699,0.35,Premium,H,SI2,62.0,58.0,4.47,4.5,2.78,429
53435,0.72,Very Good,F,SI1,61.1,54.0,5.82,5.84,3.56,2673
9140,0.93,Very Good,E,SI1,62.5,58.0,6.18,6.24,3.88,4537
53759,0.72,Premium,F,VS2,62.0,56.0,5.78,5.68,3.55,2724
36393,0.43,Ideal,G,VS2,61.7,55.0,4.85,4.88,3.0,942
28076,0.38,Very Good,H,SI1,60.1,57.0,4.73,4.75,2.85,662
29897,0.3,Premium,D,VS2,60.6,58.0,4.32,4.36,2.63,710
52122,0.7,Very Good,G,VS2,63.3,56.0,5.59,5.66,3.56,2464
